,state_abbr,candidate_name,party,votes_total
1,AL,Donald Trump,GOP,1306925.0
2,AL,Hillary Clinton,DEM,718084.0
3,AL,Gary Johnson,LIB,43869.0
4,AL,Jill Stein,GRN,9287.0
5,AK,Donald Trump,GOP,130415.0
6,AK,Hillary Clinton,DEM,93007.0
7,AK,Gary Johnson,LIB,14593.0
8,AK,Jill Stein,GRN,4445.0
9,AK,Other,OTH,4128.0
10,AZ,Donald Trump,GOP,1021154.0
11,AZ,Hillary Clinton,DEM,936250.0
12,AZ,Gary Johnson,LIB,80151.0
13,AZ,Jill Stein,GRN,25255.0
14,AR,Donald Trump,GOP,677904.0
15,AR,Hillary Clinton,DEM,378729.0
16,AR,Gary Johnson,LIB,29518.0
17,AR,Other,OTH,12627.0
18,AR,Jill Stein,GRN,9837.0
19,CA,Hillary Clinton,DEM,7362490.0
20,CA,Donald Trump,GOP,3916209.0
21,CA,Gary Johnson,LIB,402406.0
22,CA,Jill Stein,GRN,220312.0
23,CA,Other,OTH,52900.0
24,CO,Hillary Clinton,DEM,1212209.0
25,CO,Donald Trump,GOP,1137455.0
26,CO,Gary Johnson,LIB,129451.0
27,CO,Jill Stein,GRN,33147.0
28,CO,Evan McMullin,UNA,26779.0
29,CO,Other,OTH,25144.0
30,CT,Hillary Clinton,DEM,884432.0
31,CT,Donald Trump,GOP,668266.0
32,CT,Gary Johnson,LIB,48051.0
33,CT,Jill Stein,GRN,22793.0
34,DC,Hillary Clinton,DEM,260223.0
35,DC,Donald Trump,GOP,11553.0
36,DC,Gary Johnson,LIB,4501.0
37,DC,Jill Stein,GRN,3995.0
38,DE,Hillary Clinton,DEM,235581.0
39,DE,Donald Trump,GOP,185103.0
40,DE,Gary Johnson,LIB,14751.0
41,DE,Jill Stein,GRN,6100.0
42,FL,Donald Trump,GOP,4605515.0
43,FL,Hillary Clinton,DEM,4485745.0
44,FL,Gary Johnson,LIB,206007.0
45,FL,Jill Stein,GRN,64019.0
46,FL,Other,OTH,25464.0
47,GA,Donald Trump,GOP,2068623.0
48,GA,Hillary Clinton,DEM,1837300.0
49,GA,Gary Johnson,LIB,123641.0
50,HI,Hillary Clinton,DEM,266827.0
51,HI,Donald Trump,GOP,128815.0
52,HI,Gary Johnson,LIB,15949.0
53,HI,Jill Stein,GRN,12727.0
54,HI,Other,OTH,4507.0
55,ID,Donald Trump,GOP,407199.0
56,ID,Hillary Clinton,DEM,189677.0
57,ID,Evan McMullin,IND,46538.0
58,ID,Gary Johnson,LIB,28256.0
59,ID,Jill Stein,GRN,8464.0
60,ID,Other,OTH,8101.0
61,IL,Hillary Clinton,DEM,2977498.0
62,IL,Donald Trump,GOP,2118179.0
63,IL,Gary Johnson,LIB,204491.0
64,IL,Jill Stein,GRN,74112.0
65,IN,Donald Trump,GOP,1556220.0
66,IN,Hillary Clinton,DEM,1031953.0
67,IN,Gary Johnson,LIB,133856.0
68,IA,Donald Trump,GOP,798923.0
69,IA,Hillary Clinton,DEM,650790.0
70,IA,Gary Johnson,LIB,57322.0
71,IA,Other,OTH,12459.0
72,IA,Evan McMullin,PEC,12267.0
73,IA,Jill Stein,GRN,11119.0
74,KS,Donald Trump,GOP,656009.0
75,KS,Hillary Clinton,DEM,414788.0
76,KS,Gary Johnson,LIB,53648.0
77,KS,Jill Stein,GRN,22698.0
78,KY,Donald Trump,GOP,1202942.0
79,KY,Hillary Clinton,DEM,628834.0
80,KY,Gary Johnson,LIB,53749.0
81,KY,Evan McMullin,IND,22780.0
82,KY,Jill Stein,GRN,13913.0
83,LA,Donald Trump,GOP,1178004.0
84,LA,Hillary Clinton,DEM,779535.0
85,LA,Gary Johnson,LIB,37950.0
86,LA,Jill Stein,GRN,14018.0
87,LA,Other,OTH,9678.0
88,LA,Evan McMullin,OTH,8546.0
89,ME,Hillary Clinton,DEM,354873.0
90,ME,Donald Trump,GOP,334838.0
91,ME,Gary Johnson,LIB,37764.0
92,ME,Jill Stein,GRN,14075.0
93,MD,Hillary Clinton,DEM,1497951.0
94,MD,Donald Trump,GOP,873646.0
95,MD,Gary Johnson,LIB,71107.0
96,MD,Jill Stein,GRN,31839.0
97,MA,Hillary Clinton,DEM,1964768.0
98,MA,Donald Trump,GOP,1083069.0
99,MA,Gary Johnson,LIB,136784.0
100,MA,Jill Stein,GRN,46910.0
101,MI,Donald Trump,GOP,2279805.0
102,MI,Hillary Clinton,DEM,2268193.0
103,MI,Gary Johnson,LIB,173057.0
104,MI,Jill Stein,GRN,50700.0
105,MI,Other,OTH,19162.0
106,MN,Hillary Clinton,DEM,1366676.0
107,MN,Donald Trump,GOP,1322891.0
108,MN,Gary Johnson,LIB,112944.0
109,MN,Evan McMullin,INP,53080.0
